CoFIPS,Geography,Household_Inc
001,"Acadia Parish, Louisiana",37684
003,"Allen Parish, Louisiana",39440
005,"Ascension Parish, Louisiana",70207
007,"Assumption Parish, Louisiana",47961
009,"Avoyelles Parish, Louisiana",33781
011,"Beauregard Parish, Louisiana",46420
013,"Bienville Parish, Louisiana",32826
015,"Bossier Parish, Louisiana",52754
017,"Caddo Parish, Louisiana",41251
019,"Calcasieu Parish, Louisiana",44045
021,"Caldwell Parish, Louisiana",36792
023,"Cameron Parish, Louisiana",64129
025,"Catahoula Parish, Louisiana",35093
027,"Claiborne Parish, Louisiana",34216
029,"Concordia Parish, Louisiana",29824
031,"De Soto Parish, Louisiana",41486
033,"East Baton Rouge Parish, Louisiana",48535
035,"East Carroll Parish, Louisiana",24947
037,"East Feliciana Parish, Louisiana",46220
039,"Evangeline Parish, Louisiana",30323
041,"Franklin Parish, Louisiana",30607
043,"Grant Parish, Louisiana",39729
045,"Iberia Parish, Louisiana",45022
047,"Iberville Parish, Louisiana",45692
049,"Jackson Parish, Louisiana",36466
051,"Jefferson Parish, Louisiana",47871
053,"Jefferson Davis Parish, Louisiana",40335
055,"Lafayette Parish, Louisiana",51406
057,"Lafourche Parish, Louisiana",50396
059,"LaSalle Parish, Louisiana",41173
061,"Lincoln Parish, Louisiana",34210
063,"Livingston Parish, Louisiana",57478
065,"Madison Parish, Louisiana",24028
067,"Morehouse Parish, Louisiana",28304
069,"Natchitoches Parish, Louisiana",33629
071,"Orleans Parish, Louisiana",36964
073,"Ouachita Parish, Louisiana",39111
075,"Plaquemines Parish, Louisiana",54835
077,"Pointe Coupee Parish, Louisiana",46158
079,"Rapides Parish, Louisiana",41305
081,"Red River Parish, Louisiana",37681
083,"Richland Parish, Louisiana",38708
085,"Sabine Parish, Louisiana",36513
087,"St. Bernard Parish, Louisiana",44706
089,"St. Charles Parish, Louisiana",57785
091,"St. Helena Parish, Louisiana",35262
093,"St. James Parish, Louisiana",53259
095,"St. John the Baptist Parish, Louisiana",50716
097,"St. Landry Parish, Louisiana",33928
099,"St. Martin Parish, Louisiana",42948
101,"St. Mary Parish, Louisiana",41956
103,"St. Tammany Parish, Louisiana",61942
105,"Tangipahoa Parish, Louisiana",40721
107,"Tensas Parish, Louisiana",26178
109,"Terrebonne Parish, Louisiana",49932
111,"Union Parish, Louisiana",35115
113,"Vermilion Parish, Louisiana",47344
115,"Vernon Parish, Louisiana",46867
117,"Washington Parish, Louisiana",31750
119,"Webster Parish, Louisiana",35292
121,"West Baton Rouge Parish, Louisiana",49202
123,"West Carroll Parish, Louisiana",31843
125,"West Feliciana Parish, Louisiana",53967
127,"Winn Parish, Louisiana",32608
