st_abbv,nicarid,rtnum,cnty,place,feature,strcture,location,latmap,longmap,year,laneson,lanesun,avdayno,yravg,strcstat,onserve,undserve,inspdate,brdgimno,rdimpno,totcstno,impcstyr,futdlyno,futyear,stat,suffrtno
LA,226022600000020493A,00018,051,00000,LA 18 AND 541,US0090,1.0 MI S OF THE MISSISSIP,29.92,-90.17,2013,03,06,36900,2014,,1,1,,,,,,,,,0
LA,226022600000020493B,00541,051,00000,LA 18 AND 541,US0090,1.0 MI S OF THE MISSISSIP,29.92,-90.17,2013,03,02,36900,2014,,1,1,,,,,,,,,0
LA,226022600000020494B,00541,051,00000,LA 18 AND 541,US0090,1.0 MI S OF THE MISSISSIP,29.92,-90.17,2013,03,02,36900,2014,,1,1,,,,,,,,,0
LA,2260226000702017612,00061,051,55000,US 61 UNDER SOU RR,US0061,02260070201761,29.97,-90.16,1960,00,06,36700,2014,,2,1,,,,,,,,,0
LA,2260226028309000012,00045,051,55000,HARVEY CANAL/STS/RR,US0090B,1.4 MI WEST OF LA 23,29.93,-90.04,1987,03,07,35900,2014,,1,8,,,,,,,,,0
LA,2260226028309000022,00045,051,55000,HARVEY CANAL/STS/RR,US0090B,1.4 MI WEST OF LA 23,29.93,-90.04,1987,03,07,35900,2014,,1,8,,,,,,,,,0
LA,2260229006407103712,00001,057,00000,SPRR LAFOURCHE,LA0001,02290640710371,29.77,-90.77,1931,00,02,10400,2014,,2,1,,,,,,,,,0
LA,2260229040704107612,00308,057,00000,SRRR LAFOURCHE XING,LA0308,02294070410761,29.77,-90.76,1952,00,02,5800,2014,,2,1,,,,,,,,,0
LA,2260236000000204442,00610,071,55000,GENTILLY BLVD RAMP,I0610,0.01 MILES SOUTH OF I-610,29.99,-90.07,1952,00,01,7270,2014,,2,1,,,,,,,,,0
LA,2260236000603075312,00090,071,55000,N O AND N E RR,US0090,02360060307531,29.99,-90.07,1955,00,04,10000,2014,,2,1,,,,,,,,,0
LA,2260236000690001512,00090,071,55000,N O & N E RR,US0090,02360069000151,30,-90.05,1949,00,06,10000,2014,,2,1,,,,,,,,,0
LA,2260236028308006482,00090,071,55000,CITY STS. & RAMPS,US0090,.64 MI SOUTH OF I-10,29.95,-90.08,1994,01,01,116900,2014,,1,1,,,,,,,,,0
LA,226023602830800915B,00010,071,55000,"CITY STS, I10 RAMPS, US9",US0090,.91 MI SOUTH OF I-10,29.94,-90.08,1994,02,01,14490,2014,,1,1,,,,,,,,,0
LA,226023602830800915C,00090,071,55000,"CITY STS, I10 RAMPS, US9",US0090,.91 MI SOUTH OF I-10,29.94,-90.08,1994,02,02,116900,2014,,1,1,,,,,,,,,0
LA,226023602830800915D,00010,071,55000,"CITY STS, I10 RAMPS, US9",US0090,.91 MI SOUTH OF I-10,29.94,-90.08,1994,02,01,86940,2014,,1,1,,,,,,,,,0
LA,226023602830800915A,00090,071,55000,"CITY STS, I10 RAMPS, US9",US0090,.91 MI SOUTH OF I-10,29.94,-90.08,1994,02,02,16440,2014,,1,1,,,,,,,,,0
LA,2260236028308023252,00000,071,55000,"CITY STREETS,TRANSIT RAM",US0090B,2.3 MI SOUTH OF I-10,29.94,-90.06,1995,01,14,16440,2014,,1,1,,,,,,,,,0
LA,2260236028308042012,00428,071,55000,LA 428/RAMPS,US0090B,1.79 MI SOUTH OF MISS. RI,29.93,-90.04,1989,03,04,62700,2014,,1,1,,,,,,,,,0
LA,2260236028308042972,00428,071,55000,LA 428,US0090B,1.88 MI SOUTH OF MISS. RI,29.93,-90.04,1993,01,04,6270,2014,,1,1,,,,,,,,,0
LA,2260236045043005812,00090,071,55000,RR/US 90(CHEF HWY),I0510,.2 MI SOUTH OF US 90,30.02,-89.94,1992,03,04,28500,2014,,1,4,,,,,,,,,0
LA,2260236045090007912,00010,071,55000,N O  TERM  RR,I0010,02364509000791,29.99,-90.12,1962,00,10,127900,2014,,2,1,,,,,,,,,0
LA,226024504503600401B,00626,089,55000,US 61/RR/SWAMP/LA 626,I0310,0.41 M SOUTH OF I-10,30,-90.3,1992,02,02,3000,2014,,1,8,,,,,,,,,0
LA,226024504503600401A,00061,089,55000,US 61/RR/SWAMP/LA 626,I0310,0.41 M SOUTH OF I-10,30,-90.3,1992,02,02,24900,2014,,1,8,,,,,,,,,0
LA,2260245045036004082,00000,089,55000,I-10/I-310/SWAMP,I0310,0.4 M SOUTH OF I-10,30,-90.3,1992,01,05,6180,2014,,1,6,,,,,,,,,0
LA,226024504503600412B,00626,089,55000,US 61/RR/SWAMP/LA 626,I0310,0.41 M SOUTH OF I-10,30,-90.3,1992,02,02,3000,2014,,1,8,,,,,,,,,0
LA,226024504503600412A,00061,089,55000,US 61/RR/SWAMP/LA 626,I0310,0.41 M SOUTH OF I-10,30,-90.3,1992,02,02,24900,2014,,1,8,,,,,,,,,0
LA,226024504503600425B,00010,089,55000,I-310 RAMP OVER I-10,I0310,0.01 M NORTH OF I-10 WB,30,-90.3,1992,01,02,37380,2014,,1,1,,,,,,,,,0
LA,2260245045036024562,00310,089,55000,RAMPS/US 61,I0310,0.2 M NORTH OF US 61,29.98,-90.32,1992,01,01,4900,2014,,1,1,,,,,,,,,0
LA,226024504503602567B,00310,089,55000,RAMPS/US 61,I0310,0.2 1M NORTH OF US 61,29.98,-90.32,1992,01,02,29400,2014,,1,1,,,,,,,,,0
LA,226024504503602567A,00310,089,55000,RAMPS/US 61,I0310,0.2 1M NORTH OF US 61,29.98,-90.32,1992,01,02,29400,2014,,1,1,,,,,,,,,0
LA,226024504503603388B,00310,089,55000,RAMPS/RR/CANAL/US 61,I0310,0.25 M SOUTH OF US 61,29.97,-90.33,1992,01,02,29400,2014,,1,4,,,,,,,,,0
LA,2260255006591217012,00020,109,00000,SPRR & LA 20,LA0024,LA0024,29.75,-90.81,1970,04,02,7251,1989,,1,8,,,,,,,,,0
LA,2260255042407063152,00020,109,00000,"LA 20, SP RR DRAIN CANAL",US0090,RAMP TO LA 3052,29.7,-90.96,1994,01,02,2400,2014,,1,4,,,,,,,,,0
LA,2260328000430006812,00729,055,40735,SOU PACIFIC RR,LA0729,LA0729,30.2,-92,1925,00,02,3200,2014,,2,1,,,,,,,,,0
LA,2260328003201000012,00182,055,40735,LA 182 UNDER SO PAC RR B,LA0182,.01 MI NORTH OF US 90,30.23,-92.02,1986,00,04,20700,2014,,2,1,,,,,,,,,0
LA,2260328045501025112,00098,055,40735,GLORIA SWITCH ROAD,I0049,03284550102511,30.29,-92.02,1981,02,02,7200,2014,,6,1,,,,,,,,,0
LA,2260328045501025122,00098,055,40735,GLORIA SWITCH ROAD,I0049,03284550102512,30.29,-92.02,1981,02,02,7200,2014,,6,1,,,,,,,,,0
LA,2260328045501044712,00726,055,12665,I 49 OVER LA 726,I0049,I-49 OVER LA 726,30.32,-92.03,1981,02,04,3700,2005,,6,1,,,,,,,,,0
LA,2260328045501044722,00726,055,12665,I 49 OVER LA 726,I0049,I-49 OVER LA 726,30.32,-92.03,1981,02,04,3700,2005,,6,1,,,,,,,,,0
LA,2260328045501074712,00182,055,00000,LA 182,I0049,I-49 OVER LA 182,30.35,-92.04,1981,02,02,5200,2014,,6,1,,,,,,,,,0
LA,2260349045502100422,00031,097,58045,I-49 OVER LA 31,I0049,I-49 OVER LA 31,30.52,-92.07,1981,02,04,17400,2014,,6,1,,,,,,,,,0
LA,2260349045502147312,00744,097,00000,US 167  EXT.,I0049,I-49 OVER US 167,30.58,-92.05,1983,02,02,30000,2014,,6,1,,,,,,,,,0
LA,2260349045591011212,00029,097,00000,LA 49,I0049,I-49 OVER LA 29,30.77,-92.18,1987,02,02,1690,2014,,1,1,,,,,,,,,0
LA,2260349045591011222,00029,097,00000,LA 29,I0049,I-49 OVER LA 29,30.77,-92.18,1987,02,02,1690,2014,,1,1,,,,,,,,,0
LA,2260351042405106012,00900,101,27155,US 90 OVER LA 3211,US0090,03514240510601,29.8,-91.54,2001,02,02,,2015,,6,1,,,,,,,,,0
LA,2260351042405106022,00900,101,27155,US 90 OVER LA 3211,US0090,03514240510602,29.8,-91.54,2001,02,02,4900,2014,,6,1,,,,,,,,,0
LA,226035104240533051A,00090,101,52040,ATCHAFALAYA R/US90/LA70,US0090,INT OF US 90 AND LA 70,29.69,-91.2,1977,04,04,33800,2014,,1,1,,,,,,,,,0
LA,226035104240533051B,00070,101,52040,ATCHAFALAYA R/US90/LA70,US0090,INT OF US 90 AND LA 70,29.69,-91.2,1977,04,02,2200,2014,,1,1,,,,,,,,,0
LA,2260408045102001812,00020,015,08920,RAMP J-2,I0020,.2 MI EAST LA 1,32.51,-93.74,1965,06,02,140400,2014,,1,1,,,,,,,,,0
LA,2260408045102014162,00071,015,08920,US71&KCSRR,I0020,RAMPS FOR US 71,32.51,-93.72,1966,02,02,15400,2014,,1,4,,,,,,,,,0
LA,2260408045102014262,00071,015,08920,US71,I0020,RAMPS FOR US 71,32.51,-93.72,1966,02,01,15400,2014,,1,1,,,,,,,,,0
LA,226040804510201431B,00020,015,08920,US 71/KCS RR/RAMP SW,I0020,I-20 OVER US 71,32.51,-93.72,1966,02,02,91100,2014,,1,4,,,,,,,,,0
LA,226040804510201432B,00020,015,08920,US 71/KCSRR/RAMP SW,I0020,I-20 OVER US 71,32.51,-93.72,1966,02,02,91100,2014,,1,4,,,,,,,,,0
LA,2260408045102019522,00072,015,08920,LA 72/OLD MINDEN RD.,I0020,I-20 OVER LA 72,32.52,-93.71,1967,02,02,12200,2014,,6,1,,,,,,,,,0
LA,2260408045102028122,03105,015,08920,LA 3105/AIRLINE DR.,I0020,I-20 OVER LA 3105,32.53,-93.7,1967,02,04,22800,2014,,6,1,,,,,,,,,0
LA,2260408045102033122,00072,015,08920,LA72,I0020,I-20 OVER LA 72,32.53,-93.69,1967,02,04,12200,2014,,1,1,,,,,,,,,0
LA,226040804513100001A,03049,015,70000,RED RIVER/LA 3049/538,I0220,.01 MI EAST OF LA 3049,32.56,-93.77,1977,04,04,7200,2014,,1,6,,,,,,,,,0
LA,226040804513100001B,00538,015,70000,RED RIVER/LA 3049/538,I0220,.01 MI EAST OF LA 3049,32.56,-93.77,1977,04,04,10200,2014,,1,6,,,,,,,,,0
LA,2260408045131027922,00003,015,70000,BENTON-ROAD/LA 3,I0220,I-220 OVER LA 3,32.56,-93.72,1978,02,02,22500,2014,,6,1,,,,,,,,,0
LA,2260408045131037412,03105,015,08920,AIRLINE-DRIVE/LA 3105,I0220,I-220 OVER LA 3105,32.56,-93.7,1978,02,02,32400,2014,,1,1,,,,,,,,,0
LA,226040900000040380A,00071,017,00000,US 71,I0049,I-49 / US 71 INTG.,32.85,-93.86,2014,02,02,4800,2014,,6,1,,,,,,,,,0
LA,226040900000040380B,00071,017,00000,US 71,I0049,I-49 / US 71 INTG.,32.85,-93.86,2014,02,02,4800,2014,,6,1,,,,,,,,,0
LA,226040900000040385A,00071,017,00000,US 71,I0049,I-49 / US 71 INTG.,32.85,-93.86,2014,02,02,4800,2014,,6,1,,,,,,,,,0
LA,226040900000040385B,00071,017,00000,US 71,I0049,I-49 / US 71 INTG.,32.85,-93.86,2014,02,02,4800,2014,,6,1,,,,,,,,,0
LA,2260409000000403972,00002,017,00000,LA 2,I0049,I-49 / LA 2 INTG.,32.9,-93.86,2014,02,02,1261,2012,,6,1,,,,,,,,,0
LA,2260409000000403982,00002,017,00000,LA 2,I0049,I-49 / LA 2 INTG.,32.9,-93.86,2014,02,02,1261,2012,,6,1,,,,,,,,,0
LA,2260409000102080512,00080,017,70000,US 80 UNDER PEDXNG,US0080,0.31 MI WEST OF I-20,32.49,-93.77,1986,00,02,5800,2014,,3,1,,,,,,,,,0
LA,2260409001130003112,03036,017,70000,M.P. RR,LA3036,04090113000311,32.51,-93.76,1960,00,04,5600,2014,,2,1,,,,,,,,,0
LA,2260409002508033512,00171,017,70000,SOU PACIFIC RR,US0171,04090250803351,32.35,-93.83,1953,00,04,14000,2014,,2,1,,,,,,,,,0
LA,2260409002508126412,00171,017,70000,T&P RAILROAD,US0171,04090250812641,32.47,-93.78,1959,00,04,20600,2014,,2,1,,,,,,,,,0
LA,2260409042701083612,00523,017,70000,LA 523,LA3132,LA 3132 OVER LA 523,32.42,-93.74,1995,03,06,9600,2014,,1,1,,,,,,,,,0
LA,2260409042701083622,00523,017,70000,LA 523,LA3132,LA 3132 OVER LA 523,32.42,-93.74,1995,02,05,9600,2014,,1,1,,,,,,,,,0
LA,2260409042701090812,00000,017,70000,LA 526 BERT KOUNS IND. L,LA3132,1.49 MILES EAST OF I-49,32.41,-93.73,2007,02,02,50800,2014,,6,1,,,,,,,,,0
LA,2260409042701090822,00000,017,70000,LA 526 BERT KOUNS IND. L,LA3132,1.49 MILES EAST OF I-49,32.41,-93.73,2007,02,02,50800,2014,,6,1,,,,,,,,,0
